001_00	Alif Lam Mim.
240_01	Na wanawake wenyewe wakiondoka, basi hapana ubaya kwenu kwa waliyo jifanyia wenyewe kwa mujibu wa Sharia. Na Mwenyezi Mungu ni Mwenye nguvu na Mwenye hikima.
241_00	Na wanawake walio achwa wapewe cha kuwaliwaza kwa mujibu wa Sharia. Haya ni waajibu kwa wachamngu.
242_00	Namna hivi anakubainishieni Mwenyezi Mungu Aya zake ili mpate kufahamu.
243_00	Hukuwaona wale walio toka majumbani kwao kwa maelfu kwa kuogopa mauti? Mwenyezi Mungu akawaambia: Kufeni!
243_01	Kisha akwahauisha. Hakika Mwenyezi Mungu ni Mwenye fadhila juu ya watu, lakini wengi wa watu hawashukuru.
244_00	Na piganeni katika Njia ya Mwenyezi Mungu, na jueni kwamba Mwenyezi Mungu ni Msikizi na Mjuzi.
245_00	Ni nani atakaye mkopesha Mwenyezi Mungu mkopo mwema ili amzidishie mzidisho mwingi, na Mwenyezi Mungu hukunja na hukunjua. Na Kwake Yeye mtarejea.
246_00	Hukuwaona watukufu katika Wana wa Israili baada ya Musa, walipo mwambia Nabii wao: Tuwekee mfalme ili tupigane katika Njia ya Mwenyezi Mungu?
246_01	Akasema: Je, haielekei ikiwa mtaandikiwa vita kuwa msipigane?
246_02	Wakasema: Itakuwaje tusipigane katika Njia ya Mwenyezi Mungu, na hali tumetolewa majumbani kwetu na watoto wetu?
246_03	Lakini walipo andikiwa kupigana waligeuka, isipo kuwa wachache miongoni mwao. Na Mwenyezi Mungu anawajua madhaalimu.
247_00	Na Nabii wao akawaambia: Mwenyezi Mungu amekuteulieni Taluti (Sauli) kuwa ni mfalme.
247_01	Wakasema: vipi atakuwa na ufalme juu yetu, na hali sisi tuna haki zaidi kupata ufalme kuliko yeye, naye hakupewa wasaa wa mali?
247_02	Akasema: Mwenyezi Mungu amemteua yeye juu yenu na amemzidishia ukunjufu wa ilimu na kiwiliwili. Na Mwenyezi Mungu humpa ufalme wake amtakaye. Na Mwenyezi Mungu ni Mwenye wasaa na Mjuzi.
248_00	Na Nabii wao akawaambia: Alama ya ufalme wake ni kukuleteeni lile sanduku ambalo mna ndani yake kituliza nyoyo zenu, kitokacho kwa Mola wenu Mlezi, na mna mabaki ya waliyo yaacha kina Musa na kina Harun, wanalichukua Malaika.
248_01	Bila shaka katika hayo zimo dalili kwenu ikiwa nyinyi mnaamini.
249_00	Basi Taluti alipo ondoka na majeshi alisema: Mwenyezi Mungu atakujaribuni kwa mto.
249_01	Atakaye kunywa humo si pamoja nami, na asiye kunywa atakuwa pamoja nami: ila atakaye teka kiasi ya kitanga cha mkono wake.
249_02	Lakini walikunywa humo isipo kuwa wachache tu miongoni mwao.
249_03	Alipo vuka mto yeye na wale walio amini pamoja naye, walisema: Leo hatumwezi Jaluti (Goliati) na majeshi yake. Wakasema wale wenye yakini ya kukutana na Mwenyezi Mungu: Makundi mangapi madogo yameshinda makundi makubwa kwa idhini ya Mwenyezi Mungu. Na Mwenyezi Mungu yu pamoja na wenye kusubiri.
250_00	Na walipo toka kupambana na Jaluti na majeshi yake walisema: Mola wetu Mlezi! Tumiminie subira, na isimamishe imara miguu yetu, na utusaidie tuwashinde watu Makafiri--
251_00	--Kwa idhini ya Mwenyezi Mungu waliwatimua, na Daudi akamuuwa Jaluti, na Mwenyezi Mungu akampa Daudi ufalme na hikima, na akamfundisha aliyo yapenda.
251_01	Na lau kuwa Mwenyezi Mungu hawapambanishi watu kwa watu basi dunia ingeli haribika. Lakini Mwenyezi Mungu ni Mwenye fadhila juu ya walimwengu wote.
252_00	Hizi ni Aya za Mwenyezi Mungu tunakusomea kwa haki. Na hakika wewe ni miongoni mwa Mitume.
253_00	MITUME hao tumewatukuza baadhi yao juu ya wengineo. Katika wao wapo ambao Mwenyezi Mungu alisema nao, na wengine akawapandisha vyeo.
253_01	Na tukampa Isa mwana wa Mariyam hoja zilizo wazi, na tukamtia nguvu kwa Roho Takatifu. Na lau kuwa Mwenyezi Mungu alipenda wasingeli pigana walio kuwa baada yao baada ya kuwajia hoja zilizo wazi.
253_02	Lakini walikhitalifiana. Basi wapo kati yao walio amini, na wengine kati yao walio kufuru.
253_03	Na lau kuwa Mwenyezi Mungu alipenda wasingeli pigana. Lakini Mwenyezi Mungu hutenda atakavyo.
254_00	Enyi mlio amini!
254_01	Toeni katika tulivyo kupeni kabla haijafika Siku ambayo hapatakuwapo biashara, wala urafiki, wala uombezi. Na makafiri ndio madhaalimu.
255_00	Mwenyezi Mungu - hapana mungu ila Yeye Aliye hai, Msimamia mambo yote milele. Hashikwi na usingizi wala kulala.
255_01	Ni vyake pekee vyote viliomo mbinguni na duniani. Ni nani huyo awezaye kuombea mbele yake bila ya idhini yake?
255_02	Anayajua yaliyo mbele yao na yaliyo nyuma yao; wala wao hawajui chochote katika vilio katika ujuzi wake, ila kwa atakalo mwenyewe. Enzi yake imetanda mbinguni na duniani; na wala haemewi na kuvilinda hivyo. Na Yeye ndiye aliye juu, na ndiye Mkuu.
256_00	Hapana kulazimisha katika Dini. Kwani Uwongofu umekwisha pambanuka na upotofu.
256_01	Basi anaye mkataa Shet'ani na akamuamini Mwenyezi Mungu bila ya shaka amekamata kishikio madhubuti, kisicho vunjika. Na Mwenyezi Mungu ni Mwenye kusikia, Mwenye kujua.
257_00	Mwenyezi Mungu ni Mlinzi wa walio amini. Huwatoa gizani na kuwaingiza mwangazani.
257_01	Lakini walio kufuru, walinzi wao ni Mashet'ani. Huwatoa kwenye mwangaza na kuwaingiza gizani. Hao ndio watu wa Motoni, na humo watadumu.
258_00	Hukumwona yule aliye hojiana na Ibrahim juu ya Mola wake Mlezi kwa sababu Mwenyezi Mungu alimpa ufalme?
258_01	Ibrahim alipo sema: Mola wangu ni yule ambaye huhuisha na kufisha.
258_02	Yeye akasema: Mimi pia nahuisha na kufisha. Ibrahim akasema: Mwenyezi Mungu hulichomozesha jua mashariki, basi wewe lichomozeshe magharibi. Akafedheheka yule aliye kufuru; na Mwenyezi Mungu hawaongoi watu madhaalimu.
259_00	Au kama yule aliye pita karibu na mji ulio kwisha kuwa magofu tu, akasema: Ataufufuaje Mwenyezi Mungu mji huu baada ya kufa kwake? Basi Mwenyezi Mungu alimfisha yeye muda wa miaka mia.
259_01	Kisha akamfufua. Akamuuliza: Je umekaa muda gani?
259_02	Akajibu: Labda nimekaa siku moja au sehemu ya siku. Akamwambia: Bali umekaa miaka mia wewe.
259_03	Hebu angalia chakula chako na vinywaji vyako, havikuharibika. Na muangalie punda wako. Na ili tukufanye uwe ni Ishara kwa watu iangalie hii mifupa yake jinsi tunavyo inyanyua kisha tunaivisha nyama. Basi yalipo mbainikia alinena: Najua kwamba Mwenyezi Mungu ni Mwenye uweza juu ya kila kitu.
260_00	Na alipo sema Ibrahim: Mola wangu Mlezi! Nionyeshe vipi unavyo fufua wafu.
260_01	Mwenyezi Mungu akasema: Kwani huamini? Akasema: Hasha!
260_02	Lakini ili moyo wangu utue. Akamwambia: Twaa ndege wane na uwazoeshe kwako, kisha uweke juu ya kila kilima sehemu, kisha wete, watakujia mbio. Na ujue kwamba hakika Mwenyezi Mungu ni Mtukufu Mwenye nguvu, na Mwenye hikima.
261_00	Mfano wa wanao tumia mali zao katika Njia ya Mwenyezi Mungu ni kama mfano wa punje moja iliyo chipuza mashuke saba.
261_01	Katika kila shuke zimo punje mia. Na Mwenyezi Mungu humzidishia amtakaye, na Mwenyezi Mungu ni Mwenye wasaa na Mwenye kujua.
262_00	Wanao toa mali zao kwa Njia ya Mwenyezi Mungu, kisha hawafuatishii masimbulizi wala udhia kwa
262_01	walicho toa, wana ujira wao kwa Mola wao Mlezi, wala haitakuwa khofu juu yao wala hawatahuzunika.
263_00	Kauli njema na usamehevu ni bora kuliko sadaka inayo fuatiliwa na maudhi. Na Mwenyezi Mungu ndiye Mwenye kujitosha na Mpole.
264_00	Enyi mlio amini!
264_01	Msiharibu sadaka zenu kwa masimbulizi na maudhi, kama anaye toa mali yake kwa kuwaonyesha watu, wala hamuamini Mwenyezi Mungu wala Siku ya Mwisho.
264_02	Basi mfano wake ni kama mfano wa jabali ambalo juu yake pana udongo, kisha likapigwa na mvua kubwa, ikaliacha tupu. Basi hawatakuwa na uweza wowote kwa walivyo chuma. Na Mwenyezi Mungu hawaongoi watu makafiri.
265_00	Na mfano wa wale wanao toa mali zao kwa kuitafuta radhi ya Mwenyezi Mungu na kuzipa nguvu roho zao ni kama mfano wa bustani iliyo mahali pa juu, ikaifikia mvua kubwa na ikaleta mazao yake mardufu; na hata kama haifikiwi na mvua kubwa basi manyunyu hutosha.
265_01	Na Mwenyezi Mungu anayaona mnayo yatenda.
266_00	Je!
266_01	Yupo mmoja wenu anaye penda kuwa na kitalu cha mitende na mizabibu ipitayo mito kati yake, naye humo hupata mazao ya kila namna, na uzee ukamfikia naye hali ana watoto wanyonge, kikapigwa na kimbunga chenye moto, kikaungua? Hivi ndivyo Mwenyezi Mungu anavyo kubainishieni Ishara ili mpate kufikiri.
267_00	Enyi mlio amini! Toeni katika vile vizuri mlivyo vichuma, na katika vile tulivyo kutoleeni katika ardhi.
267_01	Wala msikusudie kutoa vilivyo vibaya, hali nyinyi wenyewe msinge vipokea ila ingekuwa mmefumba macho. Na jueni kwamba Mwenyezi Mungu ni Mwenye kujitosha na Msifiwa.
268_00	Shet'ani anakutieni khofu ya ufakiri na anakuamrisheni mambo machafu. Na Mwenyezi Mungu anakuahidini msamaha na fadhila zitokazo kwake. Na Mwenyezi Mungu ni Mwenye wasaa, Mwenye kujua.
269_00	Yeye humpa hikima amtakaye; na aliye pewa hikima bila ya shaka amepewa kheri nyingi. Na hawakumbuki ila wenye akili.
270_00	Na chochote mnacho toa au nadhiri mnazo weka basi hakika Mwenyezi Mungu anajua. Na walio dhulumu hawana wa kuwanusuru.
271_00	Mkizidhihirisha sadaka ni vizuri; na mkizificha mkawapa mafakiri kwa siri basi hivyo ni kheri kwenu, na yatakuondoleeni baadhi ya maovu yenu.
271_01	Na Mwenyezi Mungu anazo khabari za mnayo yatenda.
272_00	Si juu yako wewe kuwaongoa, lakini Mwenyezi Mungu humwongoa amtakaye. Na kheri yoyote mnayo toa ni kwa nafsi zenu.
272_01	Wala msitoe ila kwa kutafuta wajihi wa Mwenyezi Mungu. Na kheri yoyote mtakayo toa mtalipwa kwa ukamilifu, wala hamtadhulumiwa.
273_00	Nawapewe mafakiri walio zuilika katika njia za Mwenyezi Mungu, wasio weza kusafiri katika nchi kutafuta riziki. Asiye wajua hali zao huwadhania kuwa ni matajiri kwa sababu ya kujizuia kwao.
273_01	Utawatambua kwa alama zao; hawang'ang'analii watu kwa kuwaomba. Na kheri yoyote mnayo toa, basi kwa yakini Mwenyezi Mungu anaijua.
274_00	Wale wanao toa mali zao usiku na mchana, kwa siri na dhaahiri, wana ujira wao kwa Mola wao Mlezi; wala haitakuwa khofu juu yao, wala hawatahuzunika.
275_00	Wale walao riba hawasimami ila kama anavyo simama aliye zugwa na Shet'ani kwa kumgusa.
275_01	Hayo ni kwa kuwa wamesema: Biashara ni kama riba.
275_02	Lakini Mwenyezi Mungu ameihalalisha biashara na ameiharimisha riba. Basi aliye fikiwa na mawaidha kutoka kwa Mola wake Mlezi, kisha akajizuia, basi yake ni yaliyo kwisha pita, na mambo yake yako kwa Mwenyezi Mungu. Na wenye kurudia basi hao ndio watu wa Motoni, humo watadumu.
276_00	Mwenyezi Mungu huiondolea baraka riba, na huzibariki sadaka. Na Mwenyezi Mungu hampendi kila mwenye kukanya na afanyae dhambi.
277_00	Hakika wale walio amini na wakatenda mema na wakashika Sala na wakatoa Zaka, wao
277_01	watapata ujira wao kwa Mola wao Mlezi, wala haitakuwa khofu juu yao, wala hawatahuzunika.
278_00	Enyi mlio amini! Mcheni Mwenyezi Mungu, na acheni riba zilizo bakia, ikiwa nyinyi ni Waumini.
279_00	Basi mkitofanya jitangazieni vita na Mwenyezi Mungu na Mtume wake. Na mkitubu, basi haki yenu ni rasilmali zenu. Msidhulumu wala msidhulumiwe.
280_00	Na akiwa (mdaiwa) ana shida, basi (mdai) angoje mpaka afarijike. Na mkiifanya deni kuwa ni sadaka, basi ni bora kwenu, ikiwa mnajua.
281_00	Na iogopeni Siku ambayo mtarudishwa kwa Mwenyezi Mungu, kisha kila nafsi italipwa ilicho chuma. Nao hawatadhulumiwa.
282_00	Enyi mlio amini! Mnapo kopeshana deni kwa muda ulio wekwa, basi andikeni.
282_01	Na mwandishi aandike baina yenu kwa uadilifu, wala mwandishi asikatae kuandika. Aandike kama alivyo mfunza Mwenyezi Mungu.
282_02	Na mwenye deni juu yake aandikishe; naye amche Mwenyezi Mungu, Mola wake Mlezi. Wala asipunguze chochote ndani yake.
282_03	Na akiwa mwenye kudaiwa ni mtu aliye pumbaa au mnyonge au hawezi kuandikisha mwenyewe, basi aandikishe mlinzi wake kwa uadilifu. Na mshuhudishe mashahidi wawili katika wanaume wenu.
282_04	Ikiwa hapana wanaume wawili, basi mwanamume mmoja na wanawake wawili katika mnao waridhia kuwa mashahidi. Ili ikiwa mmoja wao akipotea, mmoja wao amkumbushe mwengine.
282_05	Na mashahidi wasikatae waitwapo. Wala msipuuze kuliandika deni likiwa dogo au kubwa mpaka muda wake.
282_06	Hayo ndiyo haki zaidi mbele ya Mwenyezi Mungu, na ndiyo sawa zaidi kwa ushahidi, na vyema zaidi ili msiwe na shaka. Ila ikiwa ni biashara ya mkono-kwa-mkono baina yenu, basi hapo si vibaya kwenu msipo iandika.
282_07	Lakini mnapo uziana wekeni mashahidi. Wala asitiwe matatani mwandishi wala shahidi.
282_08	Na mkifanya hivyo basi hakika hilo ni kosa kwenu. Na mcheni Mwenyezi Mungu. Na Mwenyezi Mungu anakufundisheni. Na Mwenyezi Mungu ni Mjuzi wa kila kitu.
283_00	Na mkiwa safarini na hamkupata mwandishi, yatosha kukabidhiwa rahani.
283_01	Na mmoja wenu akimwekea amana mwenziwe basi aliye aminiwa airudishe amana ya mwenzake, na amche Mwenyezi Mungu, Mola wake Mlezi.
283_02	Wala msifiche ushahidi. Na atakaye ficha basi hakika moyo wake ni wenye kutenda dhambi. Na Mwenyezi Mungu ni Mjuzi wa mnayo yatenda.
284_00	Viliomo mbinguni na viliomo duniani ni vya Mwenyezi Mungu. Na mkidhihirisha yaliyomo katika nafsi zenu au mkayaficha, Mwenyezi Mungu atakuhisabuni kwayo.
284_01	Kisha amsamehe amtakaye na amuadhibu amtakaye. Na Mwenyezi Mungu ni Mwenye uweza juu ya kila kitu.
285_00	Mtume ameamini yaliyo teremshwa kwake kutoka kwa Mola Mlezi wake, na Waumini vile vile.
285_01	Wote wamemuamini Mwenyezi Mungu, na Malaika wake, na Vitabu vyake na Mitume wake.
285_02	Hatutafautishi baina ya yeyote katika Mitume wake, na (Waumini) husema: Tumesikia na tumet'ii. Tunakutaka maghfira Mola Mlezi wetu! Na marejeo ni kwako.
286_00	Mwenyezi Mungu haikalifishi nafsi yoyote ila kwa kadiri ya iwezavyho. Faida ya iliyo yachuma ni yake, na khasara ya iliyo yachuma ni juu yake pia. (Ombeni:) Mola wetu Mlezi!
286_01	Usituchukulie tukisahau au tukikosea. Mola wetu Mlezi! Usitubebeshe mzigo kama ulio wabebesha wale walio kuwa kabla yetu.
286_02	Mola wetu Mlezi Usitutwike tusiyo yaweza, na utusamehe, na utughufirie, na uturehemu. Wewe ndiye Mlinzi wetu. Basi tupe ushindi tuwashinde kaumu ya makafiri.
