001_00	المص
195_00	بھلا ان کے پاؤں ہیں جن سے چلیں یا ہاتھ ہیں جن سے پکڑیں یا آنکھیں ہیں جن سے دیکھیں یا کان ہیں جن سے سنیں؟ کہہ دو
195_01	کہ اپنے شریکوں کو بلالو اور میرے بارے میں (جو) تدبیر (کرنی ہو) کرلو اور مجھے کچھ مہلت بھی نہ دو (پھر دیکھو کہ وہ میرا کیا کرسکتے ہیں)
196_00	میرا مددگار تو خدا ہی ہے جس نے کتاب (برحق) نازل کی۔ اور نیک لوگوں کا وہی دوستدار ہے
197_00	اور جن کو تم خدا کے سوا پکارتے ہو وہ نہ تمہاری ہی مدد کی طاقت رکھتے ہیں اور نہ خود ہی اپنی مدد کرسکتے ہیں
198_00	اور اگر تم ان کو سیدھے رستے کی طرف بلاؤ تو سن نہ سکیں اور تم انہیں دیکھتے ہو کہ (بہ ظاہر) آنکھیں کھولے تمہاری طرف دیکھ رہے ہیں مگر (فی الواقع) کچھ نہیں دیکھتے
199_00	(اے محمدﷺ) عفو اختیار کرو اور نیک کام کرنے کا حکم دو اور جاہلوں سے کنارہ کرلو
200_00	اور اگر شیطان کی طرف سے تمہارے دل میں کسی طرح کا وسوسہ پیدا ہو تو خدا سے پناہ مانگو۔ بےشک وہ سننے والا (اور) سب کچھ جاننے والا ہے
201_00	جو لوگ پرہیزگار ہیں جب ان کو شیطان کی طرف سے کوئی وسوسہ پیدا ہوتا ہے تو چونک پڑتے ہیں اور (دل کی آنکھیں کھول کر) دیکھنے لگتے ہیں
202_00	اور ان (کفار) کے بھائی انہیں گمراہی میں کھینچے جاتے ہیں پھر (اس میں کسی طرح کی) کوتاہی نہیں کرتے
203_00	اور جب تم ان کے پاس (کچھ دنوں تک) کوئی آیت نہیں لاتے تو کہتے ہیں کہ تم نے (اپنی طرف سے) کیوں نہیں بنالی۔ کہہ دو کہ میں تو اسی
203_01	کی پیروی کرتا ہوں جو میرے پروردگار کی طرف سے میرے پاس آتا ہے۔ یہ قرآن تمہارے پروردگار کی جانب سے دانش وبصیرت اور مومنوں کے لیے ہدایت اور رحمت ہے
204_00	اور جب قرآن پڑھا جائے تو توجہ سے سنا کرو اور خاموش رہا کرو تاکہ تم پر رحم کیا جائے
205_00	اور اپنے پروردگار کو دل ہی دل میں عاجزی اور خوف سے اور پست آواز سے صبح وشام یاد کرتے رہو اور (دیکھنا) غافل نہ ہونا
206_00	جو لوگ تمہارے پروردگار کے پاس ہیں وہ اس کی عبادت سے گردن کشی نہیں کرتے اور اس پاک ذات کو یاد کرتے اور اس کے آگے سجدے کرتے رہتے ہیں
