001_00	Alif, Lâm, Mìm.
282_07	Chiamate testimoni quando trattate tra voi e non venga fatto alcun torto agli scribi e ai testimoni; e se lo farete, sarà il segno dell'empietà che è in voi.
282_08	Temete Allah, è Allah che vi insegna. Allah conosce tutte le cose.
283_00	Se siete in viaggio e non trovate uno scriba, scambiatevi dei pegni.
283_01	Se qualcuno affida qualcosa ad un altro, restituisca il deposito il depositario e tema Allah il suo Signore.
283_02	Non siate reticenti nella testimonianza, ché invero, chi agisce così, ha un cuore peccatore. Allah conosce tutto quello che fate.
284_00	Ad Allah appartiene tutto ciò che è nei cieli e sulla terra. Che lo manifestiate o lo nascondiate, Allah vi chiederà conto di quello che è negli animi vostri.
284_01	E perdonerà chi vuole e castigherà chi vuole. Allah è onnipotente.
285_00	Il Messaggero crede in quello che è stato fatto scendere su di lui da parte del suo Signore, come del resto i credenti: tutti credono in Allah, nei Suoi Angeli, nei Suoi Libri e nei Suoi Messaggeri.
285_01	«Non facciamo differenza alcuna tra i Suoi Messaggeri.»
285_02	E dicono: «Abbiamo ascoltato e obbediamo. Perdono, Signore! È a Te che tutto ritorna».
286_00	Allah non impone a nessun'anima un carico al di là delle sue capacità. Quello che ognuno avrà guadagnato sarà a suo favore e ciò che avrà demeritato sarà a suo danno.
286_01	«Signore, non ci punire per le nostre dimenticanze e i nostri sbagli. Signore, non caricarci di un peso grave come quello che imponesti a coloro che furono prima di noi.
286_02	Signore, non imporci ciò per cui non abbiamo la forza. Assolvici, perdonaci, abbi misericordia di noi. Tu sei il nostro patrono, dacci la vittoria sui miscredenti.»
